Summary,Outcome,Side,Unnamed: 3,case_summary
"The case involved a writ petition filed by the Hospital Mazdoor Sabha, a trade union registered under the Industrial Trade Unions Act XIV of 1926, and two of its members, Mrs. Vatsala Narayan and Mrs. Ruth Isaac, against the State of Bombay. The respondents, Mrs. Narayan and Mrs. Isaac, were employed as Ward servants in the J. J. group of Hospitals. Their services were terminated, and two State servants who were discharged from the Civil Supplies Department were appointed in their place.

The respondents challenged the termination of their services, alleging that it was void as it did not comply with the mandatory provisions of Sections 25F and 25H of the Industrial Disputes Act, 1947 (the Act). They filed a writ petition seeking a writ of mandamus directing the appellant to reinstate them in their posts.

The appellant, the State of Bombay, contested the petition on several grounds. It argued that the termination orders were not void and that the writ application was misconceived because the J. J. group of Hospitals did not constitute an industry, making the relevant provisions of the Act inapplicable.

The petition was first heard by Tendolkar J., who dismissed it, holding that even if the relevant provisions of the Act were applicable, the termination orders were not void. He also held that the question about the application of Section 25H did not arise.

The matter was then taken to the Court of Appeal, which held that the termination orders had not complied with the mandatory provisions of Section 25F and were therefore invalid. The Court of Appeal also held that the J. J. group of Hospitals constituted an industry within the meaning of the Act. It allowed the writ petition and issued a writ of mandamus against the appellant.","The High Court held that the retrenchment orders were invalid for contravening the mandatory provisions of the Act. It also held that the Hospitals constituted an industry within the meaning of the Act. The Court of Appeal confirmed this decision, and the Supreme Court dismissed the appeal, affirming that the dispute was an industrial dispute and the relevant provisions of the Act applied. The appeal was dismissed with costs.",1,,"Key info:  The case involved a writ petition filed by the Hospital Mazdoor Sabha, a trade union registered under the Industrial Trade Unions Act XIV of 1926, and two of its members, Mrs. Vatsala Narayan and Mrs. Ruth Isaac, against the State of Bombay. The respondents, Mrs. Narayan and Mrs. Isaac, were employed as Ward servants in the J. J. group of Hospitals.. The High Court held that the retrenchment orders were invalid for contravening the mandatory provisions of the Act. It also held that the Hospitals constituted an industry within the meaning of the Act.."
"The petitioner, convicted for various offences, claimed to have served his sentence and sought release. He argued that with remissions earned, he had served over 15 years. The State, conceding the remissions, contended he could only be considered for release after completing 15 years of actual imprisonment. The Court noted that before 1955, a sentence of transportation for life could be served as rigorous imprisonment for life in India. However, post-1955, such a convict would be treated as undergoing rigorous imprisonment for the same term. The remissions earned would be credited towards the term, but unless the sentence was commuted or remitted, the convict was bound to serve life imprisonment. The Court held that as the petitioner's sentence had not been fully remitted by the appropriate authority, he had not acquired the right to release.",The petition for habeas corpus was dismissed.,0,,"Key info:  The petitioner, convicted for various offences, claimed to have served his sentence and sought release. He argued that with remissions earned, he had served over 15 years.. The petition for habeas corpus was dismissed.."
"The appellant, who had taken an assignment of a life insurance policy on the life of Mahajan Deolal, demanded payment from the insurance company after Deolal's death. The company repudiated the claim, alleging that Deolal had made deliberate misstatements and fraudulent suppressions of material information in the proposal form and personal statement. The appellant filed a suit, which was decreed by the trial court but dismissed by the High Court. The appellant appealed to the Supreme Court, arguing that if the policy was valid in its inception, it could not be invalidated by assignment to him. The Court held that if Deolal had been guilty of fraud, the appellant, holding an assignment of the policy, could not stand on a better footing than Deolal himself. As the contract was vitiated by fraud, the appellant could not claim the benefit of it. The Court also held that the appellant was not entitled to a refund of the money paid to the company. The appeal was dismissed.",The appeal was dismissed with costs.,0,,"Key info:  The appellant, who had taken an assignment of a life insurance policy on the life of Mahajan Deolal, demanded payment from the insurance company after Deolal's death. The company repudiated the claim, alleging that Deolal had made deliberate misstatements and fraudulent suppressions of material information in the proposal form and personal statement.. The appeal was dismissed with costs.."
"This is an appeal by certificate granted by the High Court of Calcutta under Art. 134 (1) (c) of the Constitution of India. The appellant filed a complaint alleging murder against respondent No. 1. After a judicial inquiry, the Sub-Divisional Magistrate dismissed the complaint without recording reasons. The High Court set aside the order of dismissal and directed further inquiry. The Supreme Court held that the absence of reasons in the Magistrate's order prejudiced the complainant's right to move a revisional court, making the order a nullity. The Court allowed the appeal, set aside the High Court's order, and directed that there be no legal impediment to the inquiry against the respondent.","The appeal was allowed, and further inquiry was directed.",1,,"Key info:  This is an appeal by certificate granted by the High Court of Calcutta under Art. 134 (1) (c) of the Constitution of India. The appellant filed a complaint alleging murder against respondent No. 1.. The appeal was allowed, and further inquiry was directed.."
"This is an appeal by certificate granted by the High Court of Calcutta under Art. 134 (1) (c) of the Constitution of India. The appellant filed a complaint alleging murder against respondent No. 1. After a judicial inquiry, the Sub-Divisional Magistrate dismissed the complaint without recording reasons. The High Court set aside the order of dismissal and directed further inquiry. The Supreme Court held that the absence of reasons in the Magistrate's order prejudiced the complainant's right to move a revisional court, making the order a nullity. The Court allowed the appeal, set aside the High Court's order, and directed that there be no legal impediment to the inquiry against the respondent.","The appeal was allowed, and further inquiry was directed.",1,,"Key info:  This is an appeal by certificate granted by the High Court of Calcutta under Art. 134 (1) (c) of the Constitution of India. The appellant filed a complaint alleging murder against respondent No. 1.. The appeal was allowed, and further inquiry was directed.."
"The appeal raised the question of whether an appeal lies under cl. 10 of the Letters Patent for the High Court of Lahore, to a Division Bench of the Punjab High Court against a judgment passed by a single Judge of the said High Court in a second appeal under s. 39 of the Delhi Rent Control Act, 1958. The appellant, South Asia Industries (Private) Ltd., had taken a lease of a property from Messrs. Allen Berry & Co. Private Ltd., which was later assigned to them. The owners of the property filed for eviction of the appellant on the ground of unauthorized assignment. The appeal was dismissed by the Rent Control Tribunal and the High Court, leading to the present appeal.","The Supreme Court held that an appeal under s. 39 of the Act and an appeal under cl. 10 of the Letters Patent are different appeals - one given by the statute and the other by the Letters Patent. It was concluded that the expression ""appeal"" in S. 39 of the Act does not encompass a Letters Patent appeal under s.110 of the Letters Patent. The appeal was dismissed, affirming the decision of the High Court, and costs were awarded against the appellant.",0,,"Key info:  The appeal raised the question of whether an appeal lies under cl. 10 of the Letters Patent for the High Court of Lahore, to a Division Bench of the Punjab High Court against a judgment passed by a single Judge of the said High Court in a second appeal under s. 39 of the Delhi Rent Control Act, 1958.. The Supreme Court held that an appeal under s. 39 of the Act and an appeal under cl. 10 of the Letters Patent are different appeals - one given by the statute and the other by the Letters Patent.."
"The case involved a dispute regarding the interest of a partner in partnership assets, including movable and immovable property, under s. 17(1) of the Registration Act, 1908. The partnership between two joint Hindu families, the Addanki family and the Bhaskara family, was for the business of hulling rice and decorticating groundnuts. The plaintiffs sought a declaration that the suit properties belonged to them and for a division of the same. The defendants, members of the Bhaskara family, contended that the partnership was dissolved in 1936, and therefore, the plaintiffs had no cause of action.","The Supreme Court upheld the decree of the High Court, which had ruled in favor of the defendants. The Court held that the partnership business had ended, as evidenced by a karar executed by members of the Addanki family, relinquishing their share in the business assets. The Court also noted that English court decisions and relevant legal principles supported this view. The appeal was dismissed with costs.",0,,"Key info:  The case involved a dispute regarding the interest of a partner in partnership assets, including movable and immovable property, under s. 17(1) of the Registration Act, 1908. The partnership between two joint Hindu families, the Addanki family and the Bhaskara family, was for the business of hulling rice and decorticating groundnuts.. The Supreme Court upheld the decree of the High Court, which had ruled in favor of the defendants. The Court held that the partnership business had ended, as evidenced by a karar executed by members of the Addanki family, relinquishing their share in the business assets.."
"The appellant, Raghubans Dubey, challenged an order summoning him as an accused in a criminal case before the Sessions Judge, contending that the Magistrate had no jurisdiction to summon him as the Sub-divisional Magistrate had already dismissed a protest petition on the same matter. The Sessions Judge rejected this argument, holding that the Magistrate could summon any person against whom there was sufficient evidence. The appellant then filed a criminal revision before the Patna High Court, arguing that summoning him based on a petition of complaint would result in a separate complaint case. The High Court disagreed, holding that the case was instituted based on a police report, and the order of the Magistrate did not amount to taking cognizance of an offence. The High Court also ruled that the Magistrate did not summon the appellant only on the grounds considered by the Sub-divisional Magistrate.","The Supreme Court upheld the decision of the High Court and dismissed the appeal. The Court cited various decisions supporting the view that a Magistrate taking cognizance on a police report could summon additional accused based on good evidence, even without examining witnesses in court. The Court noted similar views from the Calcutta, Punjab, and Allahabad High Courts. Ultimately, the appeal was dismissed.",0,,"Key info:  The appellant, Raghubans Dubey, challenged an order summoning him as an accused in a criminal case before the Sessions Judge, contending that the Magistrate had no jurisdiction to summon him as the Sub-divisional Magistrate had already dismissed a protest petition on the same matter. The Sessions Judge rejected this argument, holding that the Magistrate could summon any person against whom there was sufficient evidence.. The Supreme Court upheld the decision of the High Court and dismissed the appeal. The Court cited various decisions supporting the view that a Magistrate taking cognizance on a police report could summon additional accused based on good evidence, even without examining witnesses in court.."
"The petitions and the civil appeal challenged an order of the State of Madras regarding the selection of candidates for admission to the First Year integrated M.B.B.S. Course. Rule 5 of the Rules provided for reservation for socially and educationally backward classes, defined as specified in Group III of the revised Appendix 17-A to the Madras Educational Rules. The petitioners argued that the selection process was not in accordance with the University Act and the Rules framed thereunder. The High Court dismissed the petitions and upheld the selection process. The Supreme Court partly allowed the petitions and struck down Rule 8 of the Rules, which dealt with districtwise allocation. The Court held that the Government was entitled to frame rules for admission to medical colleges controlled by it, subject to the rules of the university as to eligibility and qualifications. The selection for the current year stood, but Rule 8 would not be enforced for future selections.","The petitions were partly allowed, and Rule 8 of the Rules was struck down. The appeal was also allowed to the same extent. The selection for the current year stood, but Rule 8 would not be enforced for future selections. The petitioners/appellant were awarded their costs and one set of hearing fee.",1,,"Key info:  The petitions and the civil appeal challenged an order of the State of Madras regarding the selection of candidates for admission to the First Year integrated M.B.B.S. Course. Rule 5 of the Rules provided for reservation for socially and educationally backward classes, defined as specified in Group III of the revised Appendix 17-A to the Madras Educational Rules.. The petitions were partly allowed, and Rule 8 of the Rules was struck down. The appeal was also allowed to the same extent.."
"The petitions and the civil appeal challenged an order of the State of Madras regarding the selection of candidates for admission to the First Year integrated M.B.B.S. Course. Rule 5 of the Rules provided for reservation for socially and educationally backward classes, defined as specified in Group III of the revised Appendix 17-A to the Madras Educational Rules. Rule 8 provided for districtwise allocation of seats. The petitioners argued that the selection process was not in accordance with the University Act and the Rules framed thereunder. The Supreme Court partly allowed the petitions and struck down Rule 8 of the Rules, which dealt with districtwise allocation. The Court held that the Government was entitled to frame rules for admission to medical colleges controlled by it, subject to the rules of the university as to eligibility and qualifications. The selection for the current year stood, but Rule 8 would not be enforced for future selections.","The petitions were partly allowed, and Rule 8 of the Rules was struck down. The appeal was also allowed to the same extent. The selection for the current year stood, but Rule 8 would not be enforced for future selections. The petitioners/appellant were awarded their costs and one set of hearing fee.",1,,"Key info:  The petitions and the civil appeal challenged an order of the State of Madras regarding the selection of candidates for admission to the First Year integrated M.B.B.S. Course. Rule 5 of the Rules provided for reservation for socially and educationally backward classes, defined as specified in Group III of the revised Appendix 17-A to the Madras Educational Rules.. The petitions were partly allowed, and Rule 8 of the Rules was struck down. The appeal was also allowed to the same extent.."
"This case involves an assessee's appeal against the High Court of Patna's judgment dismissing its writ petition under Arts 226 and 227 of the Indian Constitution. The assessee, a partnership firm, had construction contracts under the Railways and the Government. For the assessment year 1960-61, it was asked by the Income-tax Officer to produce its books of account and other relevant papers. After an enquiry, the assessee's total income was assessed. Subsequently, the Income-tax Officer issued a notice under s. 148 of the Indian Income-tax Act, 1961, to re-assess the income for the said assessment year. The assessee challenged the validity of the notice on various grounds, including non-compliance with the requirements of s. 151(2) of the Act. The Supreme Court found that the notice was invalid as it did not comply with the requirements of s. 151(2) of the Act, which states that no notice shall be issued under Section 148 after the expiry of four years from the end of the relevant assessment year unless the Commissioner is satisfied on the reasons recorded by the Income-tax Officer that it is a fit case for the issue of such notice. The Court held that the Income-tax Officer did not have reasons to believe that the income had escaped assessment, as required by s. 147 of the Act. The Court set aside the High Court's order and quashed the impugned notice. The respondent was ordered to pay the costs of the appellant both in the Supreme Court and the High Court.","The appeal was allowed, the High Court's order was set aside, and the impugned notice was quashed. Respondent No. 2 was ordered to pay the costs of the appellant both in the Supreme Court and the High Court.",1,,"Key info:  This case involves an assessee's appeal against the High Court of Patna's judgment dismissing its writ petition under Arts 226 and 227 of the Indian Constitution. The assessee, a partnership firm, had construction contracts under the Railways and the Government.. The appeal was allowed, the High Court's order was set aside, and the impugned notice was quashed. Respondent No. 2 was ordered to pay the costs of the appellant both in the Supreme Court and the High Court.."
"The appellant, a professor at a medical college, was convicted under the Prevention of Corruption Act and IPC sections for his involvement in a research project. The prosecution alleged that he misappropriated funds by obtaining a draft for the purchase of a distillation apparatus but did not use it for the intended purpose. However, the Court found that the appellant had genuinely tried to purchase the apparatus but faced difficulties in obtaining it. The Court noted that the appellant's actions were irregular but did not indicate criminal intent. The Court also observed that the appellant may have been targeted due to hostility from the Dean of the Medical College. Consequently, the Court acquitted the appellant of all charges, stating that he was innocent.","The appeal was allowed, the convictions and sentences were set aside, and the appellant was acquitted of all charges. The bail bond was cancelled, and the fine, if paid, was to be refunded.",1,,"Key info:  The appellant, a professor at a medical college, was convicted under the Prevention of Corruption Act and IPC sections for his involvement in a research project. The prosecution alleged that he misappropriated funds by obtaining a draft for the purchase of a distillation apparatus but did not use it for the intended purpose.. The appeal was allowed, the convictions and sentences were set aside, and the appellant was acquitted of all charges. The bail bond was cancelled, and the fine, if paid, was to be refunded.."
