Scenario,Law,Similarity
"""But some time before the date of the complaint the respondent began to ill treat her, with the result that she had to reside with her mother and brother.""","Indian Contract Act (1872): Defines and governs various types of contracts and related legal principles. This law wouldn't be directly relevant to the scenario as it focuses on contractual agreements and breaches, whereas the scenario deals with marital issues and potential domestic abuse.",0
"The petitioner is one of the acknowledged leaders of the Naxalite movement... armed revolt of the peasantry against... seeks to achieve its end by violent means calculated to overthrow the democratic process.""","Sections under the Indian Penal Code (1860) related to Waging War against the Government of India (e.g., Section 121), Sedition (e.g., Section 124A), Unlawful Association (e.g., Section 153A): These sections address acts of violence and incitement aimed at disrupting or overthrowing the established government.",1
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Indian Penal Code (IPC), 1860 (Section 406): Punishment for criminal breach of trust. — Whoever commits criminal breach of trust shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",0
My boss has been making inappropriate comments to me for months now. He touches me uninvited and makes suggestive jokes. I feel uncomfortable and unsafe at work. What can I do?,"he Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, offers protection and a complaint mechanism for workplace sexual harassment.",1
My boss has been making inappropriate comments to me for months now. He touches me uninvited and makes suggestive jokes. I feel uncomfortable and unsafe at work. What can I do?,"The Indian Penal Code (IPC), 1860 (Section 354): This section deals with assault or criminal force to woman with intent to outrage her modesty, but the scenario doesn't explicitly mention any physical assault.",0
My boss has been making inappropriate comments to me for months now. He touches me uninvited and makes suggestive jokes. I feel uncomfortable and unsafe at work. What can I do?,"the Industrial Disputes Act, 1947, makes provision for the investigation and settlement of Industrial Disputes, and for certain other purposes. Where as it is expedient to make provision for the investigation and settlement of industrial disputes.",1
"The brakes on my new scooter malfunctioned, causing me to get into an accident. I broke my arm and will need surgery. The company refuses to accept any responsibility, claiming it's a user error. What should I do?","The Sale of Goods Act, 1930, defines a contract wherein the seller of particular goods transfers or agrees to transfer the goods to the buyer for some price. .",1
"The brakes on my new scooter malfunctioned, causing me to get into an accident. I broke my arm and will need surgery. The company refuses to accept any responsibility, claiming it's a user error. What should I do?","The Consumer Protection Act, 2019, offers consumer rights and redressal mechanisms for getting a refund or replacement.",1
"The brakes on my new scooter malfunctioned, causing me to get into an accident. I broke my arm and will need surgery. The company refuses to accept any responsibility, claiming it's a user error. What should I do?","The Motor Vehicles Act, 1956 (Section 181): stipulates the kind of licences needed and the prescribed age requirements to apply for them.",0
"The brakes on my new scooter malfunctioned, causing me to get into an accident. I broke my arm and will need surgery. The company refuses to accept any responsibility, claiming it's a user error. What should I do?","The Indian Penal Code (IPC), 1860 (Section 279): the act of rash or negligent driving in a public way endangering human life or likely to cause injuries to persons has been made an offence.",0
"My landlord just increased my rent by a significant amount without any prior notice. It's way above the market rate in the area, and I can't afford it. Is there anything I can do?",The Rent Control Act It regulates the rules of letting out a property and ensures that neither the landlords nor the tenants’ rights are exploited by the other.,1
"My landlord just increased my rent by a significant amount without any prior notice. It's way above the market rate in the area, and I can't afford it. Is there anything I can do?","The Indian Evidence Act, 1872: This act deals with the rules for presenting evidence in court,",0
"My landlord just increased my rent by a significant amount without any prior notice. It's way above the market rate in the area, and I can't afford it. Is there anything I can do?","Indian Contract Act, 1872, When one person signifies to another his willingness to do or to abstain from doing anything, with a view to obtaining the assent of that other to such act or abstinence, he said to make a proposal",1
"I wrote a song and posted it online, but then I saw a popular music artist release a song that sounds very similar to mine! They haven't credited me anywhere. Should I be worried?","The Copyright Act, 1957, protects original literary, dramatic, musical and artistic works and cinematograph films and sound recordings from unauthorized uses.",1
"I wrote a song and posted it online, but then I saw a popular music artist release a song that sounds very similar to mine! They haven't credited me anywhere. Should I be worried?","The Indian Penal Code (IPC), 1860 (Section 420): This section deals with cheating and dishonestly inducing delivery of property.",0
"Someone posted a negative review about my business online, claiming I provided poor service. The review is completely false and is damaging my reputation. What can I do?","The IPC, 1860 (Section 500) Whoever defames another shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.",1
The entire scenario involved accusations and investigations but no convictions.,Indian Evidence Act - Deals with the rules for presenting evidence in court. (Applicable throughout the scenario),1
Accused had an illicit relationship with the deceased's wife.,"Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",0
Accused was chased away by the deceased.,"Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",0
Accused stole a car for repairs.,"IPC Section 379: Theft. Whoever takes any movable property, belonging to another person with the intention of taking it permanently and dishonestly, is guilty of theft.",1
Accused took deceased and another person for a ride.,"Motor Vehicles Act, 1939:  Regulates the use of motor vehicles on Indian roads.",0
Deceased's body was found with an iron rod (used in the car) nearby.,IPC Section 302: Murder. Whoever intentionally and unlawfully causes the death of another person.,1
Accused led to the recovery of stolen items and the deceased's watch.,"The Code of Criminal Procedure, 1973 (CrPC) Section 100: Power of police officer to recover and take possession of property suspected to be connected with an offence.",0
"The accused, entrusted with Provident Fund deposits of teachers, misappropriated funds","Indian Penal Code (IPC) Section 405 (Criminal Breach of Trust): Whoever, being in lawful possession of any property, dishonestly misappropriates or converts to his own use that property, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",1
The accused violated the trust established for managing the Provident Fund,"Indian Trusts Act, 1882: Defines and regulates the creation and administration of trusts in India.",1
The accused failed to account for the funds when demanded,"Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",0
The accused violated the rules framed by the West Bengal Board of Secondary Education for managing Provident Funds,"The West Bengal Board of Secondary Education Act, 1963: Establishes the West Bengal Board of Secondary Education and empowers it to frame rules for various purposes, including the management of Provident Funds for affiliated schools.",1
The accused misused the funds for personal benefit,"Prevention of Corruption Act, 1988: Aims to prevent corruption by public servants.",0
The accused accumulated a specific amount of Provident Fund deposits,"Employees' Provident Funds and Miscellaneous Provisions Act, 1952: Regulates the establishment and administration of Provident Funds for employees in various sectors, including educational institutions.",0
The respondents were entrusted with Provident Fund Deposits of teachers.,"Indian Penal Code (IPC), Section 405: Criminal breach of trust- Covers criminal breach of trust, which applies as the respondents were entrusted with the money and allegedly misused it.",1
They disposed of a sum without following prescribed norms.,"Indian Trusts Act, 1882: Duties of trustees ",1
The act violated the rules framed by the West Bengal Board of Secondary Education.,West Bengal Board of Secondary Education Act/Regulations,1
They failed to account for the money when called upon.,"Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",0
The scenario involves misuse of funds for personal benefit.,"Motor Vehicles Act, 1939:  Regulates the use of motor vehicles on Indian roads.",0
The amount involved is less than Rs. 1 lakh.,"Motor Vehicles Act, 1939:  Regulates the use of motor vehicles on Indian roads.",0
"On August 25, 1976, a supervisor from the Karnataka Electricity Board found the respondent's meter not recording electricity consumption while lights and fans were on. Further inspection revealed tampering with the main connection to bypass the meter.","The Electricity Act, 2003 (Applicable) <br> This act prohibits theft of electricity, which includes tampering with meters or bypassing them to avoid paying for consumed electricity.",1
A property owner is found to have modified their property tax records to pay lower taxes.,"Motor Vehicles Act, 1939:  Regulates the use of motor vehicles on Indian roads.",0
A consumer dispute forum receives a complaint about a faulty washing machine and issues a refund order to the customer.,"Motor Vehicles Act, 1939:  Regulates the use of motor vehicles on Indian roads.",0
"A group of villagers protest against the installation of high voltage power lines near their homes, citing safety concerns.","The Indian Constitution, Article 21 (Right to Life) (Applicable) This fundamental right guarantees protection of life and personal liberty. If the power lines pose a genuine safety threat, it could be a violation of this right, making it applicable.",1
A routine inspection by an electricity board supervisor reveals a tampered meter and unauthorized electricity usage.,"The Electricity Act, 2003 (Applicable) This act regulates the generation, transmission, distribution, trading, and supply of electricity. It prohibits tampering with electricity meters and unauthorized use of electricity, making it applicable to this scenario.",1
An individual uses solar panels to generate electricity for their own consumption without informing the electricity board.,"The Electricity Act, 2003 (Non-Applicable) While the act regulates electricity generation, it primarily focuses on commercial generation and distribution. In this specific scenario, the individual is not involved in commercial activity, making it non-applicable.",0
Robbery and assault on the highway,Indian Penal Code (IPC) Section 392: Punishment for robbery,1
"Someone posted a negative review about my business online, claiming I provided poor service. The review is completely false and is damaging my reputation. What can I do?","The Indian Contract Act, 1872, When a party to a contract promises to do a certain thing at or before a specified time, or certain things at or before specified times, and fails to do any such thing at or before the specified time, the contract, or so much of it as has not been performed, becomes voidable at the option of the promisee, if the intention of the parties was that time should be of the essence of the contract.",0
"I signed a contract to cater an event, but a week before the date, there was a major power outage in the area, and my catering equipment wouldn't function. The client is demanding a full refund, but I already bought all the ingredients. What are my options?","The Indian Contract Act, 1872, When a party to a contract promises to do a certain thing at or before a specified time, or certain things at or before specified times, and fails to do any such thing at or before the specified time, the contract, or so much of it as has not been performed, becomes voidable at the option of the promisee, if the intention of the parties was that time should be of the essence of the contract.",1
"I signed a contract to cater an event, but a week before the date, there was a major power outage in the area, and my catering equipment wouldn't function. The client is demanding a full refund, but I already bought all the ingredients. What are my options?","The Consumer Protection Act, 2019, offers consumer rights and redressal mechanisms for getting a refund or replacement.",1
"I signed a contract to cater an event, but a week before the date, there was a major power outage in the area, and my catering equipment wouldn't function. The client is demanding a full refund, but I already bought all the ingredients. What are my options?","The Indian Wildlife Protection Act, 1972: focuses on the protection of wildlife and their habitats. ",0
I believe I'm being discriminated against at work because of my age. My boss keeps making comments about how 'older employees can't keep up' and recently passed me over for a promotion in favor of a younger colleague with less experience. Am I protected by any laws?,"The Age Discrimination in Employment (ADE) Act, 2016, protects individuals aged 40 years and over from discrimination throughout the employment",1
I believe I'm being discriminated against at work because of my age. My boss keeps making comments about how 'older employees can't keep up' and recently passed me over for a promotion in favor of a younger colleague with less experience. Am I protected by any laws?,"The Indian Penal Code (IPC), 1860 (Section 427) Whoever commits mischief and thereby causes loss or damage to the amount of fifty rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",0
"I was walking through a crowded market when I accidentally bumped into someone. We both apologized, and I continued walking. However, a few minutes later, I realized my wallet was missing from my pocket. I suspect the person I bumped into might have taken it, but I'm not sure. What legal options do I have in this situation?","The Indian Penal Code (IPC), 1860 (Section 379): This section deals with theft, which is defined as taking movable property belonging to another person without their consent and with the intention of depriving them of it permanently.",1
"During a heated argument on a busy street corner, one individual (Person A) pulls out a knife and lunges towards another individual (Person B) with the clear intent to harm them. Witnessing this, several bystanders (Bystanders X, Y, and Z) attempt to intervene and separate them. Person A, in a desperate and aggressive attempt to reach Person B, swings the knife wildly, threatening the bystanders who are trying to de-escalate the situation.",IPC Section 336: Endangering life or personal safety of others,1
"During a heated argument on a busy street corner, one individual (Person A) pulls out a knife and lunges towards another individual (Person B) with the clear intent to harm them. Witnessing this, several bystanders (Bystanders X, Y, and Z) attempt to intervene and separate them. Person A, in a desperate and aggressive attempt to reach Person B, swings the knife wildly, threatening the bystanders who are trying to de-escalate the situation.",IPC Section 307: Attempt to murder,1
"During a heated argument on a busy street corner, one individual (Person A) pulls out a knife and lunges towards another individual (Person B) with the clear intent to harm them. Witnessing this, several bystanders (Bystanders X, Y, and Z) attempt to intervene and separate them. Person A, in a desperate and aggressive attempt to reach Person B, swings the knife wildly, threatening the bystanders who are trying to de-escalate the situation.","Motor Vehicles Act, 1939:  Regulates the use of motor vehicles on Indian roads.",0
"A group of people, including myself, are traveling together on a bus. Two police officers board the bus and take a co-passenger names ramya into custody. While in custody, the officers allegedly rape ramya Later, upon arrival at the post-mortem examination, it is revealed that she had been brutally raped and strangled to death.",IPC Section 363: Punishment for kidnapping,1
"A group of people, including myself, are traveling together on a bus. Two police officers board the bus and take a co-passenger names ramya into custody. While in custody, the officers allegedly rape ramya Later, upon arrival at the post-mortem examination, it is revealed that she had been brutally raped and strangled to death.",IPC Section 376(2)(c): Rape by a police officer within the limits of a police station to which he is appointed,1
"A group of people, including myself, are traveling together on a bus. Two police officers board the bus and take a co-passenger names ramya into custody. While in custody, the officers allegedly rape ramya Later, upon arrival at the post-mortem examination, it is revealed that she had been brutally raped and strangled to death.","Prevention of Corruption Act, 1988: Addresses the prevention of corruption and misconduct by public servants.",1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","Indian Penal Code (IPC) Section 376: Punishment for rape. This is the primary law governing rape, including rape of a minor.",1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ",IPC Section 302: Punishment for murder. The victim was murdered in a brutal manner.,1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","IPC Section 201: Causing disappearance of evidence of offence, or giving false information to screen offender.",1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ",IPC Section 363: Punishment for kidnapping.,1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","Protection of Children from Sexual Offences Act (POCSO), 2012: This comprehensive law specifically addresses sexual offenses against children, making offenses like rape and assault of minors especially severe.",1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","The Narcotic Drugs and Psychotropic Substances Act, 1985: This act regulates the production, possession, sale, and consumption of narcotic drugs and psychotropic substances. There's no mention of such substances or their connection to the scenario.",0
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","The Dowry Prohibition Act, 1961: This act prohibits the giving and taking of dowry, which is unconnected to this particular scenario.",0
"My wife, priya, was sitting by the bus window on our journey when someone unexpectedly came from the other side, snatched her gold chain, and fled. She immediately shouted for help, and I jumped off the bus to chase the thief. Luckily, with the assistance of two other passengers, we managed to apprehend him at the Patel Nagar bus stop. We're pressing charges for theft, but I wanted to understand other legal actions also",IPC Section 379: Punishment for theft: This section deals with the act of taking movable property belonging to another person without their consent and with the intention of depriving them of it permanently.,1
"My wife, priya, was sitting by the bus window on our journey when someone unexpectedly came from the other side, snatched her gold chain, and fled. She immediately shouted for help, and I jumped off the bus to chase the thief. Luckily, with the assistance of two other passengers, we managed to apprehend him at the Patel Nagar bus stop. We're pressing charges for theft, but I wanted to understand other legal actions also","The Hindu Marriage Act, 1955: This act governs various aspects of marriage, including grounds for divorce, maintenance rights, and property division in case of divorce. ",0
"My wife, priya, was sitting by the bus window on our journey when someone unexpectedly came from the other side, snatched her gold chain, and fled. She immediately shouted for help, and I jumped off the bus to chase the thief. Luckily, with the assistance of two other passengers, we managed to apprehend him at the Patel Nagar bus stop. We're pressing charges for theft, but I wanted to understand other legal actions also","The Indian Transfer of Property Act, 1882: This act deals with various aspects of property transfers, including sale, gift, mortgage, and lease.",0
"My wife, priya, was sitting by the bus window on our journey when someone unexpectedly came from the other side, snatched her gold chain, and fled. She immediately shouted for help, and I jumped off the bus to chase the thief. Luckily, with the assistance of two other passengers, we managed to apprehend him at the Patel Nagar bus stop. We're pressing charges for theft, but I wanted to understand other legal actions also","IPC Section 34: Acts done by several persons in furtherance of common intention: If evidence suggests the thief acted in collaboration with others (e.g., lookout or getaway driver), this section strengthens the case by establishing a common criminal intent.",1
"My father, Shri Azhar Hussain, organized a cultural event as a Minister in Maharashtra. He invited artists, Raja Murad and Javed Khan, through official letters. However, the prosecution claims these letters were forged, as they lacked his signature. The event went ahead, but later a controversy erupted, leading to a CBI investigation. We're concerned about the accusations of forgery and want to understand the legal implications and how to proceed.","IPC Section 468: Forgery for purpose of cheating - This section deals with forging documents with the intent to deceive someone. In this case, the forged letters could be considered an attempt to deceive the invitees.",1
"My father, Shri Azhar Hussain, organized a cultural event as a Minister in Maharashtra. He invited artists, Raja Murad and Javed Khan, through official letters. However, the prosecution claims these letters were forged, as they lacked his signature. The event went ahead, but later a controversy erupted, leading to a CBI investigation. We're concerned about the accusations of forgery and want to understand the legal implications and how to proceed.","The Food Safety and Standards Act, 2006: This law focuses on ensuring the safety and quality of food products sold in India. It has no bearing on the situation involving forged invitations and a cultural event.",0
"My father, Shri Azhar Hussain, organized a cultural event as a Minister in Maharashtra. He invited artists, Raja Murad and Javed Khan, through official letters. However, the prosecution claims these letters were forged, as they lacked his signature. The event went ahead, but later a controversy erupted, leading to a CBI investigation. We're concerned about the accusations of forgery and want to understand the legal implications and how to proceed.","The Narcotic Drugs and Psychotropic Substances Act, 1985: This act regulates the production, possession, sale, and consumption of narcotic drugs and psychotropic substances. There's no mention of such substances or their connection to the scenario.",0
"My father, Shri Azhar Hussain, organized a cultural event as a Minister in Maharashtra. He invited artists, Raja Murad and Javed Khan, through official letters. However, the prosecution claims these letters were forged, as they lacked his signature. The event went ahead, but later a controversy erupted, leading to a CBI investigation. We're concerned about the accusations of forgery and want to understand the legal implications and how to proceed.","The Indian Stamp Act, 1889: This act deals with the use of revenue stamps on various documents to generate government revenue. While official documents might require stamps in certain situations, the scenario doesn't mention any specific stamp-related issue relevant to the case.",0
"My brothers and I were working at our shop when a group of ten men, including Chhaju Khan and others, attacked us. They specifically targeted my brother, Hotilal, with the intent to kill him, and also assaulted the rest of us, causing injuries. They stole 600 rupees and some documents from the shop, and even damaged the property. We're appealing for justice and want to know what legal options we have against these attackers.","IPC Sections 307: Attempt to Murder, 323, 324, 325, 326: Assault and Grievous Hurt - These sections address the violent assault with intent to cause death and various degrees of physical injury.",1
"My brothers and I were working at our shop when a group of ten men, including Chhaju Khan and others, attacked us. They specifically targeted my brother, Hotilal, with the intent to kill him, and also assaulted the rest of us, causing injuries. They stole 600 rupees and some documents from the shop, and even damaged the property. We're appealing for justice and want to know what legal options we have against these attackers.",IPC Section 392: Robbery - This section criminalizes the theft of property along with the use of force or the threat of force.,1
"My brothers and I were working at our shop when a group of ten men, including Chhaju Khan and others, attacked us. They specifically targeted my brother, Hotilal, with the intent to kill him, and also assaulted the rest of us, causing injuries. They stole 600 rupees and some documents from the shop, and even damaged the property. We're appealing for justice and want to know what legal options we have against these attackers.","The Foreign Marriage Act, 1969: This act governs marriages between Indian citizens and foreign nationals. It has no connection to the described events of assault and theft within the country.",0
"My brothers and I were working at our shop when a group of ten men, including Chhaju Khan and others, attacked us. They specifically targeted my brother, Hotilal, with the intent to kill him, and also assaulted the rest of us, causing injuries. They stole 600 rupees and some documents from the shop, and even damaged the property. We're appealing for justice and want to know what legal options we have against these attackers.","The Copyright Act, 1957: This act protects the rights of creators of original works like literature, music, and software. The scenario doesn't involve any creative work being stolen or infringed upon, making this law irrelevant.",0
"I recently discovered that my ex-partner, whom I believed to be single, has been married this entire time! They never disclosed this during our relationship. Not only did they lie about their marital status, but I also suspect they forged documents to hide their existing marriage. I'm feeling hurt, betrayed, and confused. What legal options do I have in this situation?","Indian Penal Code (IPC) - Section 120B (Criminal Conspiracy): This section covers conspiracy to commit an offense. If the individuals conspired to circumvent the Ordinance by making false statements, this section could apply.",1
