case_id,summary,side
11,"The case involved a writ petition filed by the Hospital Mazdoor Sabha, a trade union registered under the Industrial Trade Unions Act XIV of 1926, and two of its members, Mrs. Vatsala Narayan and Mrs. Ruth Isaac, against the State of Bombay. The respondents, Mrs. Narayan and Mrs. Isaac, were employed as Ward servants in the J. J. group of Hospitals. Their services were terminated, and two State servants who were discharged from the Civil Supplies Department were appointed in their place.

The respondents challenged the termination of their services, alleging that it was void as it did not comply with the mandatory provisions of Sections 25F and 25H of the Industrial Disputes Act, 1947 (the Act). They filed a writ petition seeking a writ of mandamus directing the appellant to reinstate them in their posts.

The appellant, the State of Bombay, contested the petition on several grounds. It argued that the termination orders were not void and that the writ application was misconceived because the J. J. group of Hospitals did not constitute an industry, making the relevant provisions of the Act inapplicable.

The petition was first heard by Tendolkar J., who dismissed it, holding that even if the relevant provisions of the Act were applicable, the termination orders were not void. He also held that the question about the application of Section 25H did not arise.

The matter was then taken to the Court of Appeal, which held that the termination orders had not complied with the mandatory provisions of Section 25F and were therefore invalid. The Court of Appeal also held that the J. J. group of Hospitals constituted an industry within the meaning of the Act. It allowed the writ petition and issued a writ of mandamus against the appellant.",1
12,"The petitioner, convicted for various offences, claimed to have served his sentence and sought release. He argued that with remissions earned, he had served over 15 years. The State, conceding the remissions, contended he could only be considered for release after completing 15 years of actual imprisonment. The Court noted that before 1955, a sentence of transportation for life could be served as rigorous imprisonment for life in India. However, post-1955, such a convict would be treated as undergoing rigorous imprisonment for the same term. The remissions earned would be credited towards the term, but unless the sentence was commuted or remitted, the convict was bound to serve life imprisonment. The Court held that as the petitioner's sentence had not been fully remitted by the appropriate authority, he had not acquired the right to release.",0
13,"The appellant, who had taken an assignment of a life insurance policy on the life of Mahajan Deolal, demanded payment from the insurance company after Deolal's death. The company repudiated the claim, alleging that Deolal had made deliberate misstatements and fraudulent suppressions of material information in the proposal form and personal statement. The appellant filed a suit, which was decreed by the trial court but dismissed by the High Court. The appellant appealed to the Supreme Court, arguing that if the policy was valid in its inception, it could not be invalidated by assignment to him. The Court held that if Deolal had been guilty of fraud, the appellant, holding an assignment of the policy, could not stand on a better footing than Deolal himself. As the contract was vitiated by fraud, the appellant could not claim the benefit of it. The Court also held that the appellant was not entitled to a refund of the money paid to the company. The appeal was dismissed.",0
14,"This is an appeal by certificate granted by the High Court of Calcutta under Art. 134 (1) (c) of the Constitution of India. The appellant filed a complaint alleging murder against respondent No. 1. After a judicial inquiry, the Sub-Divisional Magistrate dismissed the complaint without recording reasons. The High Court set aside the order of dismissal and directed further inquiry. The Supreme Court held that the absence of reasons in the Magistrate's order prejudiced the complainant's right to move a revisional court, making the order a nullity. The Court allowed the appeal, set aside the High Court's order, and directed that there be no legal impediment to the inquiry against the respondent.",1
15,"This is an appeal by certificate granted by the High Court of Calcutta under Art. 134 (1) (c) of the Constitution of India. The appellant filed a complaint alleging murder against respondent No. 1. After a judicial inquiry, the Sub-Divisional Magistrate dismissed the complaint without recording reasons. The High Court set aside the order of dismissal and directed further inquiry. The Supreme Court held that the absence of reasons in the Magistrate's order prejudiced the complainant's right to move a revisional court, making the order a nullity. The Court allowed the appeal, set aside the High Court's order, and directed that there be no legal impediment to the inquiry against the respondent.",1
16,"The appeal raised the question of whether an appeal lies under cl. 10 of the Letters Patent for the High Court of Lahore, to a Division Bench of the Punjab High Court against a judgment passed by a single Judge of the said High Court in a second appeal under s. 39 of the Delhi Rent Control Act, 1958. The appellant, South Asia Industries (Private) Ltd., had taken a lease of a property from Messrs. Allen Berry & Co. Private Ltd., which was later assigned to them. The owners of the property filed for eviction of the appellant on the ground of unauthorized assignment. The appeal was dismissed by the Rent Control Tribunal and the High Court, leading to the present appeal.",0
17,"The case involved a dispute regarding the interest of a partner in partnership assets, including movable and immovable property, under s. 17(1) of the Registration Act, 1908. The partnership between two joint Hindu families, the Addanki family and the Bhaskara family, was for the business of hulling rice and decorticating groundnuts. The plaintiffs sought a declaration that the suit properties belonged to them and for a division of the same. The defendants, members of the Bhaskara family, contended that the partnership was dissolved in 1936, and therefore, the plaintiffs had no cause of action.",0
18,"The appellant, Raghubans Dubey, challenged an order summoning him as an accused in a criminal case before the Sessions Judge, contending that the Magistrate had no jurisdiction to summon him as the Sub-divisional Magistrate had already dismissed a protest petition on the same matter. The Sessions Judge rejected this argument, holding that the Magistrate could summon any person against whom there was sufficient evidence. The appellant then filed a criminal revision before the Patna High Court, arguing that summoning him based on a petition of complaint would result in a separate complaint case. The High Court disagreed, holding that the case was instituted based on a police report, and the order of the Magistrate did not amount to taking cognizance of an offence. The High Court also ruled that the Magistrate did not summon the appellant only on the grounds considered by the Sub-divisional Magistrate.",0
19,"The petitions and the civil appeal challenged an order of the State of Madras regarding the selection of candidates for admission to the First Year integrated M.B.B.S. Course. Rule 5 of the Rules provided for reservation for socially and educationally backward classes, defined as specified in Group III of the revised Appendix 17-A to the Madras Educational Rules. The petitioners argued that the selection process was not in accordance with the University Act and the Rules framed thereunder. The High Court dismissed the petitions and upheld the selection process. The Supreme Court partly allowed the petitions and struck down Rule 8 of the Rules, which dealt with districtwise allocation. The Court held that the Government was entitled to frame rules for admission to medical colleges controlled by it, subject to the rules of the university as to eligibility and qualifications. The selection for the current year stood, but Rule 8 would not be enforced for future selections.",1
20,"The petitions and the civil appeal challenged an order of the State of Madras regarding the selection of candidates for admission to the First Year integrated M.B.B.S. Course. Rule 5 of the Rules provided for reservation for socially and educationally backward classes, defined as specified in Group III of the revised Appendix 17-A to the Madras Educational Rules. Rule 8 provided for districtwise allocation of seats. The petitioners argued that the selection process was not in accordance with the University Act and the Rules framed thereunder. The Supreme Court partly allowed the petitions and struck down Rule 8 of the Rules, which dealt with districtwise allocation. The Court held that the Government was entitled to frame rules for admission to medical colleges controlled by it, subject to the rules of the university as to eligibility and qualifications. The selection for the current year stood, but Rule 8 would not be enforced for future selections.",1
21,"This case involves an assessee's appeal against the High Court of Patna's judgment dismissing its writ petition under Arts 226 and 227 of the Indian Constitution. The assessee, a partnership firm, had construction contracts under the Railways and the Government. For the assessment year 1960-61, it was asked by the Income-tax Officer to produce its books of account and other relevant papers. After an enquiry, the assessee's total income was assessed. Subsequently, the Income-tax Officer issued a notice under s. 148 of the Indian Income-tax Act, 1961, to re-assess the income for the said assessment year. The assessee challenged the validity of the notice on various grounds, including non-compliance with the requirements of s. 151(2) of the Act. The Supreme Court found that the notice was invalid as it did not comply with the requirements of s. 151(2) of the Act, which states that no notice shall be issued under Section 148 after the expiry of four years from the end of the relevant assessment year unless the Commissioner is satisfied on the reasons recorded by the Income-tax Officer that it is a fit case for the issue of such notice. The Court held that the Income-tax Officer did not have reasons to believe that the income had escaped assessment, as required by s. 147 of the Act. The Court set aside the High Court's order and quashed the impugned notice. The respondent was ordered to pay the costs of the appellant both in the Supreme Court and the High Court.",1
22,"The appellant, a professor at a medical college, was convicted under the Prevention of Corruption Act and IPC sections for his involvement in a research project. The prosecution alleged that he misappropriated funds by obtaining a draft for the purchase of a distillation apparatus but did not use it for the intended purpose. However, the Court found that the appellant had genuinely tried to purchase the apparatus but faced difficulties in obtaining it. The Court noted that the appellant's actions were irregular but did not indicate criminal intent. The Court also observed that the appellant may have been targeted due to hostility from the Dean of the Medical College. Consequently, the Court acquitted the appellant of all charges, stating that he was innocent.",1
23,"The appeal arose from a decision of the Calcutta High Court on a question of law regarding the interpretation of section 271(1)(a)(i) of the Income Tax Act. The Tribunal sought the High Court's opinion on whether the penalty should be determined based on the tax assessed under section 143 of the Act or the amount payable under section 156. The Revenue argued that the penalty should be based on the tax assessed, while the assessee and interveners contended that it should be based on the amount payable under section 156. The High Court considered the language of the provision and previous decisions, noting that different interpretations had been adopted by various High Courts. Ultimately, the Court held that the expression ""the amount of the tax, if any, payable by him"" in section 271(1)(a)(i) referred to the tax payable by the assessee, and not the tax assessed. The Court emphasized the need to interpret taxing provisions in a manner that favors the assessee when two reasonable constructions are possible. Therefore, the appeal was dismissed, affirming the interpretation that the penalty should be based on the tax payable by the assessee.",0
24,"This case involves a dispute over inheritance rights to a property left by Lachman, who died in 1948, leaving behind three daughters. The appellant, Kale, is the son of one of the daughters, Musamat Tikia. The U.P. Tenancy Act, 1939, applied, stating that only unmarried daughters inherit the property. Disputes arose regarding the inheritance, with one daughter, Musamat Ram Pyari, marrying in 1955. The appellant claimed sole inheritance rights after her marriage. After various legal proceedings and a compromise, the Revenue authorities were directed to attest the mutation of names in accordance with the family arrangement between the parties.",1
25,"This appeal under Article 136 of the Constitution was filed by two appellants against the judgment of the Bombay High Court, which dismissed their appeal against the judgment of the Additional Motor Accidents Claims Tribunal for Greater Bombay. The Tribunal had confirmed an award in favor of the respondents and directed the Tribunal to decide the liability of the Insurance Company, limiting its liability to Rs. 20,000 under section 110E of the Motor Vehicles Act, 1939. The case involved an accident where the respondent, Dr. Balkrishna Ramchandra Nayan, was driving his car and was hit by a truck owned by the appellants, causing injuries to him and his nurse. Dr. Nayan claimed Rs. 3 lakhs in damages. The owners of the truck denied negligence and refuted the claim. The Tribunal found the truck owner liable for negligence and upheld the damages awarded to Dr. Nayan.",0
26,"This case discusses the evolution of the doctrine regarding the adjudgment of whether a statute offends a fundamental right. It mentions the cases of A. K. Gopalan v. State of Madras and R.C. Cooper v. Union of India, highlighting the shift from the doctrine of intended and real effect to the doctrine that the object and form of the State action alone determine the extent of protection that may be claimed by an individual. The test applied since R.C. Cooper's case is to determine the direct and inevitable consequence or effect of the impugned state action on the fundamental right of the petitioner. It emphasizes that the pith and substance doctrine looks at the object and subject matter of the state action, while in testing the validity of state action with reference to fundamental rights, the Courts must consider the direct and inevitable consequence of the State action.",0
27,"The appellant filed a Writ Petition under Article 226 of the Constitution of India in the Court of the Judicial Commissioner, Manipur, challenging orders of the Chief Commissioner of Manipur permitting the 'settlement' of part of a public road on respondents, which allegedly prevented the petitioner's free access to the public road from his adjoining land. The Writ petition was initially allowed by the learned Judicial Commissioner but was later reviewed and dismissed by his successor. The appellant appealed, arguing that the Judicial Commissioner acted without jurisdiction in reviewing the order made by his predecessor. The Judicial Commissioner gave two reasons for the review, which the appellant contended were not valid grounds for review.",1
28,"The petitioner, Dr. Ramesh, a medical graduate from the Madras University, applied for admission to the University of Delhi's postgraduate Dermatology course but was denied admission due to a rule reserving 70% of the seats for Delhi graduates. The remaining 30% was open to all, including graduates from other universities. The petitioner challenged the rule as violative of Articles 14 to 16 of the Constitution, seeking admission to the course. The University of Delhi justified the reservation, citing the need to counter similar practices by other universities that favored their own alumni. The Supreme Court directed the petitioner to be admitted to the postgraduate degree course in Dermatology for the current year and ordered the University to appoint a time-bound committee to investigate the justification and quantum of reservation at the postgraduate level, considering equality of opportunity for every Indian. The committee was to make recommendations on university-based reservations and the implementation modus operandi, with a report to be considered for admissions for the next year. The Court expressed concern over the tendency of universities to act as insulated islands of education, emphasizing the need for integrated unity and equal opportunity in higher education to prevent provincialism from eroding the integrity of India.",1
29,"The case involves Dr. Ramesh, a medical graduate from the Madras University, who applied for admission to the University of Delhi's postgraduate Dermatology course. Despite qualifying in the common entrance test, he was denied admission due to a rule reserving 70% of the seats for Delhi graduates. The remaining 30% was open to all, including graduates from other universities. Dr. Ramesh challenged the rule as violative of Articles 14 to 16 of the Constitution, seeking admission to the course. The University of Delhi justified the reservation, citing the need to counter similar practices by other universities favoring their own alumni. The Supreme Court directed Dr. Ramesh to be admitted to the postgraduate degree course in Dermatology for the current year. Additionally, the Court ordered the University to appoint a time-bound committee to investigate the justification and quantum of reservation at the postgraduate level, considering equality of opportunity for every Indian.",1
30,"A landlord, frustrated by civil court rulings, filed a frivolous criminal complaint against tenants, alleging offenses under Sections 193, 199, and 201 of the Indian Penal Code (IPC). The complaint pertained to false statements made during allotment proceedings before a Rent Control Officer.The premises in question had a history of legal disputes, including a pending suit for sale. Chandrapal Singh, one of the tenants, had occupied part of the premises since 1972.The Rent Control Officer, acting as a tribunal, had ruled in favor of Chandrapal Singh in the allotment proceedings, although there were disputes over the area vacated by the previous tenant.The complainant, an advocate, alleged false statements in affidavits filed during the allotment proceedings. However, the court noted that mere rejection of evidence does not automatically make it false.The court quashed the proceedings initiated by the Chief Judicial Magistrate, holding that there was insufficient evidence to support charges under Sections 193, 199, and 201 of the IPC. The complainant's actions were deemed an abuse of the legal system.",1
31,"The case involved lifers (prisoners sentenced to life imprisonment) seeking consideration for premature release under the Punjab Jail Manual. Counsel for the lifers argued that they should be eligible for release after serving a specific period of their sentence, as per the Manual. They contended that executive instructions issued by the State Government couldn't override the Manual's provisions.

The State argued that the Manual's provisions were themselves executive instructions and could be amended by subsequent instructions. They relied on instructions issued in 1971 and 1976, which required longer periods of imprisonment before consideration for release.

The court examined the history of the Manual and noted that its provisions were based on executive instructions from the Government of India. They found that the Manual's provisions were not statutory rules but could be amended by fresh executive instructions.

Ultimately, the court rejected the lifers' contentions, stating that they were bound by the 1971 and 1976 instructions. However, it ruled in favor of two specific petitioners who had already served the required period for consideration under the 1971 instructions.",0
32,"These appeals involve a point of law regarding the interpretation of the term 'wilful default' in the Tamil Nadu Buildings (Lease and Rent Control) Act, 1960. The court heard arguments from both parties and reviewed several authorities. The cases involved different situations where tenants were accused of wilful default in rent payment, leading to eviction lawsuits. The court examined the facts of each case and the relevant provisions of the Acts in question. The Acts varied in their treatment of wilful default, with some explicitly mentioning it and others not. The Tamil Nadu Act included an explanation that clarified the criteria for determining wilful default. The court considered the impact of this explanation on the proviso and discussed the purpose and interpretation of explanations in statutory provisions. The court also discussed the general provisions of Rent Acts in different states and how they handle defaults and eviction procedures. Overall, the court analyzed the legal principles and statutory provisions to determine the outcome of the appeals.
",0
33,"Civil Appeal No. 1722 of 1986 involved a dispute arising from the allotment of election symbols in a Panchayat Union election held in Tamil Nadu. The appellant, S.T. Muthusami, and respondent No. 6, K. Natarajan, both claimed to be the official candidates of the Indian National Congress (I) party. The Returning Officer initially allotted different symbols to them but later issued an Errata Notification assigning the symbol 'hand' to the appellant. Respondent No. 1, who was also contesting the election, challenged this decision through a writ petition in the Madras High Court.",1
34,"Shamimbanu, a 19 or 20-year-old girl, was raped by the respondent, Chandraprakash Kewalchand Jain, who was a Sub-Inspector of Police, on 22nd August, 1981. Shamimbanu and her husband Mohmad Shafi, who had eloped and married, were staying in a lodge in Nagpur when the incident occurred. The respondent, accompanied by a constable, took them to the police station in the middle of the night, where he separated the couple. The respondent then took Shamimbanu to a room in the police station, flirted with her, slapped her, and demanded sexual favors. Later, he took her to a hotel room, raped her twice, and threatened her not to complain.
Upon returning to the police station, Mohmad Shafi informed the police about the rape, leading to an investigation and the charge sheeting of the respondent. During the trial, the respondent denied the accusations and claimed that he had to place Mohmad Shafi in the lock-up due to family issues. However, the trial court found the respondent guilty based on the evidence presented.
The High Court, on appeal, acquitted the respondent, citing lack of corroboration in Shamimbanu's testimony and discrepancies in her statements.",1
35,"The assessee in this case is a civil construction company engaged in various projects, including dams, irrigation projects, water supply plants, etc., both in India and overseas. The company executed several contracts, including a dam and irrigation project in Libya, a fibre-board factory in Iraq, and the Karkh Water Supply Project in Baghdad, among others. The company obtained approval from the Central Board of Direct Taxes (CBDT) under Section 80-O of the Income Tax Act for some of these contracts, entitling it to certain deductions.

However, for the assessment year 1983-84, the Income Tax department disputed the deductions claimed by the assessee. The Inspecting Assistant Commissioner (IAC) denied the deductions under Section 80-O, stating that the contracts fell under Section 80-HHB, and even under that section, the conditions for exemption were not met.

On appeal, the Commissioner of Income Tax (Appeals) partially upheld the IAC's decision but allowed the assessee an opportunity to present its claim under Section 80-HHB.

The Income Tax Appellate Tribunal (ITAT) also supported the CIT's decision. However, during the appeal process, the CBDT issued a letter modifying its earlier approval, extending it beyond the initial assessment year. The ITAT referred the matter to the High Court, which concluded that the receipts from the contracts did not qualify for deductions under Section 80-O and were instead covered under Section 80-HHB.",0
36,"The case involves an appeal by the Kerala State Road Transport Corporation (appellant) against a judgment by the High Court of Kerala in M.F.A. No. 661 of 1986. The appeal concerns a fatal accident action resulting from a motor accident involving a bus owned by the appellant. The accident occurred on February 19, 1984, at Plamood Junction at Pullad on Thiruvalla-Kothancherry in the State of Kerala, resulting in the death of Thomas Philip, aged 38.

The Motor Accidents Claims Tribunal initially awarded compensation of Rs 58,760 to the claimants (parents, widow, and children of the deceased). However, the High Court of Kerala enhanced the compensation to Rs 2,64,000, taking into account various factors such as loss of dependency, special damages for funeral expenses, journey to the hospital, treatment expenses, loss of future earnings, etc.

The appellant appealed to the Supreme Court, arguing that the compensation awarded was excessive and not in line with established principles. The appellant contended that the loss of dependency could not exceed a certain amount based on the deceased's income, and the total compensation awarded by the High Court was unjustified.",1
37,"Hetal Parekh, an 18-year-old school-going girl, was raped and murdered. The appellant, a security guard at the building where the crime occurred, was found guilty of rape and murder based on witness testimonies, recovery of stolen items from his house, and his absconding after the crime. The prosecution's evidence conclusively connected the appellant to the crime. The Court upheld the appellant's conviction under Sections 302 (murder), 376 (rape), and 380 (theft) of the Indian Penal Code.",1
38,"The case involved an accident on May 20, 1980, where the appellant, R.D. Hattangadi, met with an accident while traveling in an Ambassador car on the Karwar-Mangalore Road. The accident resulted in the death of the car driver and serious injuries to Hattangadi, leaving him paralyzed below the waist.

The car was owned by M/s Pest Control (India) Pvt. Ltd., and the motor lorry involved in the accident was owned by Madhav Bolar. Both vehicles were insured. Hattangadi filed a claim petition seeking compensation for his injuries.

The Accident Claim Tribunal awarded compensation to Hattangadi, holding the drivers of both vehicles negligent. The Tribunal directed the car insurer to pay the compensation. However, on appeal, the High Court modified the compensation amount, reducing it significantly.

Hattangadi appealed to the Supreme Court seeking enhancement of the compensation awarded by the Tribunal.",1
39,"The statement discusses a case where the prosecutrix has testified to being raped, and the court is analyzing the evidence presented. The court finds the prosecutrix to be a reliable witness with no discrepancies in her testimony. The medical evidence, including the examination by a lady doctor and the presence of semen on slides, corroborates the prosecutrix's account. The court dismisses the trial court's conclusion that the prosecutrix was habituated to sexual intercourse based on medical evidence and finds it irresponsible. The court also refutes the trial court's belief that the case was fabricated out of enmity, pointing out inconsistencies in the accused's claims and lack of evidence supporting enmity between the families involved. The court emphasizes the seriousness of false accusations of rape and the implausibility of the prosecutrix and her family jeopardizing their reputation for petty reasons. Overall, the court finds the accused guilty based on the corroborated testimony of the prosecutrix and dismisses the trial court's faulty conclusions.
",1
40,"The assessee, a Muslim lady aged about 20 years during the relevant assessment year, purchased land in Ernakulam in 1967 and 1968. The Income-tax Officer rejected her explanation for the source of funds, making additions to her income. Shri Ranbir Chandra, representing the Revenue, argued that Section 69 should be interpreted mandatorily, treating the investment value as income once the explanation is rejected.",0
