Scenario,Law,Similarity
"A married couple belonging to the Hindu religion is facing issues in their marriage. The husband has been verbally and emotionally abusing the wife, causing her mental anguish and distress. Despite attempts at reconciliation, the situation does not improve, and the wife decides to seek legal advice. ","Hindu Marriage Act (1955): This act governs various aspects of marriage, separation, and divorce within Hindu communities. Sections related to cruelty and grounds for divorce or separation could be relevant.",1
"""But some time before the date of the complaint the respondent began to ill treat her, with the result that she had to reside with her mother and brother.""",The Protection of Women from Domestic Violence Act (2005): This act defines various forms of domestic abuse and provides mechanisms for a woman to seek protection. It could be a resource if the ill-treatment falls under the Act's definition.,1
"""But some time before the date of the complaint the respondent began to ill treat her, with the result that she had to reside with her mother and brother.""","Indian Contract Act (1872): Defines and governs various types of contracts and related legal principles. This law wouldn't be directly relevant to the scenario as it focuses on contractual agreements and breaches, whereas the scenario deals with marital issues and potential domestic abuse.",0
"In a region experiencing political unrest, a group of individuals organizes protests against the government, demanding political change. The protests turn violent, with the group resorting to arson and vandalism. ","Sections under the Indian Penal Code (1860) related to Waging War against the Government of India (e.g., Section 121), Sedition (e.g., Section 124A), Unlawful Association (e.g., Section 153A): These sections address acts of violence and incitement aimed at disrupting or overthrowing the established government.",1
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Indian Penal Code (IPC), 1860 (Section 406): Punishment for criminal breach of trust. — Whoever commits criminal breach of trust shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",0
My boss has been making inappropriate comments to me for months now. He touches me uninvited and makes suggestive jokes. I feel uncomfortable and unsafe at work. What can I do?,"he Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, offers protection and a complaint mechanism for workplace sexual harassment.",1
My boss has been making inappropriate comments to me for months now. He touches me uninvited and makes suggestive jokes. I feel uncomfortable and unsafe at work. What can I do?,"The Indian Penal Code (IPC), 1860 (Section 354): This section deals with assault or criminal force to woman with intent to outrage her modesty, but the scenario doesn't explicitly mention any physical assault.",0
My boss has been making inappropriate comments to me for months now. He touches me uninvited and makes suggestive jokes. I feel uncomfortable and unsafe at work. What can I do?,"the Industrial Disputes Act, 1947, makes provision for the investigation and settlement of Industrial Disputes, and for certain other purposes. Where as it is expedient to make provision for the investigation and settlement of industrial disputes.",1
"The brakes on my new scooter malfunctioned, causing me to get into an accident. I broke my arm and will need surgery. The company refuses to accept any responsibility, claiming it's a user error. What should I do?","The Sale of Goods Act, 1930, defines a contract wherein the seller of particular goods transfers or agrees to transfer the goods to the buyer for some price. .",1
"The brakes on my new scooter malfunctioned, causing me to get into an accident. I broke my arm and will need surgery. The company refuses to accept any responsibility, claiming it's a user error. What should I do?","The Consumer Protection Act, 2019, offers consumer rights and redressal mechanisms for getting a refund or replacement.",1
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Motor Vehicles Act, 1956 (Section 181): stipulates the kind of licences needed and the prescribed age requirements to apply for them.",0
"The brakes on my new scooter malfunctioned, causing me to get into an accident. I broke my arm and will need surgery. The company refuses to accept any responsibility, claiming it's a user error. What should I do?","Patents Act, 1970: Although primarily concerned with patents, this act also contains provisions related to the protection of intellectual property rights in general, which may be relevant to copyright protection.",0
"My landlord just increased my rent by a significant amount without any prior notice. It's way above the market rate in the area, and I can't afford it. Is there anything I can do?",The Rent Control Act It regulates the rules of letting out a property and ensures that neither the landlords nor the tenants’ rights are exploited by the other.,1
"My landlord just increased my rent by a significant amount without any prior notice. It's way above the market rate in the area, and I can't afford it. Is there anything I can do?","The Indian Evidence Act, 1872: This act deals with the rules for presenting evidence in court,",0
"My landlord just increased my rent by a significant amount without any prior notice. It's way above the market rate in the area, and I can't afford it. Is there anything I can do?","Indian Contract Act, 1872, When one person signifies to another his willingness to do or to abstain from doing anything, with a view to obtaining the assent of that other to such act or abstinence, he said to make a proposal",1
"I wrote a song and posted it online, but then I saw a popular music artist release a song that sounds very similar to mine! They haven't credited me anywhere. Should I be worried?","The Copyright Act, 1957, protects original literary, dramatic, musical and artistic works and cinematograph films and sound recordings from unauthorized uses.",1
"I wrote a song and posted it online, but then I saw a popular music artist release a song that sounds very similar to mine! They haven't credited me anywhere. Should I be worried?","Right of Children to Free and Compulsory Education Act, 2009 (RTE Act): This act provides for free and compulsory education for all children between the ages of 6 and 14 years. It also lays down specific norms and standards relating to pupil-teacher ratios, infrastructure, and curriculum.",0
"Someone posted a negative review about my business online, claiming I provided poor service. The review is completely false and is damaging my reputation. What can I do?","The IPC, 1860 (Section 500) Whoever defames another shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.",1
The entire scenario involved accusations and investigations but no convictions.,Indian Evidence Act - Deals with the rules for presenting evidence in court. (Applicable throughout the scenario),1
Accused had an illicit relationship with the deceased's wife.,"Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",0
Accused was chased away by the deceased.,"Wildlife Protection Act, 1972: While primarily concerned with wildlife conservation, this act also includes provisions for the protection of forests and their habitats. It prohibits hunting of specified animals and regulates trade in wildlife and their products.",0
Accused stole a car for repairs.,"IPC Section 379: Theft. Whoever takes any movable property, belonging to another person with the intention of taking it permanently and dishonestly, is guilty of theft.",1
Accused took deceased and another person for a ride.,"National Council of Educational Research and Training (NCERT) Act, 1961: This act establishes the NCERT as an autonomous organization to assist and advise the central and state governments on policies and programs for qualitative improvement in school education.",0
"A man, in a fit of jealousy, confronts his romantic partner over suspicions of infidelity. During the confrontation, the man loses his temper and strikes his partner with a heavy object, resulting in the partner's death. The man's actions were intentional, and he unlawfully caused the death of another person.",IPC Section 302: Murder. Whoever intentionally and unlawfully causes the death of another person.,1
My boss has been making inappropriate comments to me for months now. He touches me uninvited and makes suggestive jokes. I feel uncomfortable and unsafe at work. What can I do?,"The Code of Criminal Procedure, 1973 (CrPC) Section 100: Power of police officer to recover and take possession of property suspected to be connected with an offence.",0
"A financial advisor, entrusted with managing a client's investment portfolio, instead misappropriates the funds for personal use. The advisor, who was in lawful possession of the client's money, dishonestly converts it to their own use. The client discovers the misappropriation and files a complaint.","Indian Penal Code (IPC) Section 405 (Criminal Breach of Trust): Whoever, being in lawful possession of any property, dishonestly misappropriates or converts to his own use that property, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",1
"A financial advisor, entrusted with managing a client's investment portfolio, instead misappropriates the funds for personal use. The advisor, who was in lawful possession of the client's money, dishonestly converts it to their own use. The client discovers the misappropriation and files a complaint.","Indian Trusts Act, 1882: Defines and regulates the creation and administration of trusts in India.",1
The accused failed to account for the funds when demanded,"Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006: This act recognizes the rights of forest-dwelling communities, including scheduled tribes, to forest land and other resources. It aims to secure the livelihoods of these communities while conserving forests.",0
The accused violated the rules framed by the West Bengal Board of Secondary Education for managing Provident Funds,"The West Bengal Board of Secondary Education Act, 1963: Establishes the West Bengal Board of Secondary Education and empowers it to frame rules for various purposes, including the management of Provident Funds for affiliated schools.",1
The accused misused the funds for personal benefit,"The Juvenile Justice (Care and Protection of Children) Act, 2015: This act deals with the care, protection, and rehabilitation of children in need of care and protection, as well as children in conflict with the law.",0
"A private school in India, with more than 20 employees, fails to comply with the provisions related to employee Provident Funds, resulting in financial losses for its employees. The relevant authorities take action against the school management for not establishing and maintaining a Provident Fund for its employees, ensuring that the employees receive their Provident Fund benefits as per the law.","Employees' Provident Funds and Miscellaneous Provisions Act, 1952: Regulates the establishment and administration of Provident Funds for employees in various sectors, including educational institutions.",0
The respondents were entrusted with Provident Fund Deposits of teachers.,"Indian Penal Code (IPC), Section 405: Criminal breach of trust- Covers criminal breach of trust, which applies as the respondents were entrusted with the money and allegedly misused it.",1
"A group of trustees is appointed to manage a charitable trust that runs a school for underprivileged children. The trustees are responsible for ensuring that the trust's funds are used for the benefit of the children, including providing education, meals, and healthcare. However, the trustees misappropriate the funds for their personal use, neglecting their duties towards the beneficiaries. ","Indian Trusts Act, 1882: Duties of trustees ",1
"A Muslim couple decides to seek a divorce according to Muslim personal law. The husband pronounces talaq (divorce) to his wife three times in one sitting, intending to end the marriage. The wife accepts the talaq, and the marriage is dissolved as per the provisions of the Muslim Personal Law (Shariat) Application Act, 1937, which governs matters of marriage, divorce, and inheritance among Muslims in India.","The Muslim Personal Law (Shariat) Application Act, 1937, is an Indian law that applies to Muslims in India in matters of marriage, divorce, succession, and other personal affairs. It allows Muslims to be governed by their personal law, based on Islamic principles, in these matters.",1
They failed to account for the money when called upon.,"All India Council for Technical Education (AICTE) Act, 1987: This act establishes the AICTE as a statutory body responsible for the planning and coordination of technical education and for the maintenance of standards.",0
The scenario involves misuse of funds for personal benefit.,"Protection of Plant Varieties and Farmers' Rights Act, 2001: While not directly related to arts, this act protects the rights of farmers and plant breeders and encourages the development of new plant varieties, which can be relevant in the context of traditional arts and crafts.",0
The amount involved is less than Rs. 1 lakh.,"The Sexual Harassment of Women at Workplace (Prevention, Prohibition, and Redressal) Act, 2013: This act seeks to prevent and address sexual harassment of women at workplaces and provides a mechanism for redressal of complaints.",0
"On August 25, 1976, a supervisor from the Karnataka Electricity Board found the respondent's meter not recording electricity consumption while lights and fans were on. Further inspection revealed tampering with the main connection to bypass the meter.","The Electricity Act, 2003 (Applicable) <br> This act prohibits theft of electricity, which includes tampering with meters or bypassing them to avoid paying for consumed electricity.",1
A property owner is found to have modified their property tax records to pay lower taxes.,"The Maternity Benefit Act, 1961: This act regulates the employment of women in certain establishments and provides for maternity benefits such as maternity leave and medical benefits.",0
A consumer dispute forum receives a complaint about a faulty washing machine and issues a refund order to the customer.,"The Dowry Prohibition Act, 1961: This act prohibits the giving or taking of dowry and provides for penalties for violations.",0
"A group of villagers protest against the installation of high voltage power lines near their homes, citing safety concerns.","The Indian Constitution, Article 21 (Right to Life) (Applicable) This fundamental right guarantees protection of life and personal liberty. If the power lines pose a genuine safety threat, it could be a violation of this right, making it applicable.",1
A 10-year-old child is sexually abused by a neighbor. The child's parents file a complaint with the police,"The Protection of Children from Sexual Offences (POCSO) Act, 2012, aims to protect children from sexual abuse by defining various forms of sexual offenses against them and prescribing stringent punishments for offenders. It also provides for the establishment of special courts and support services for victims.",1
An individual uses solar panels to generate electricity for their own consumption without informing the electricity board.,"The Personal Data Protection Bill, 2019: While not yet enacted, this bill aims to regulate the collection, storage, and processing of personal data by individuals and entities in India.",0
Robbery and assault on the highway,"IPC Section 392 deals with the offense of robbery and prescribes punishment for the same. According to this section, robbery is defined as the act of committing theft or extortion by using force or the threat of force.",1
"Someone posted a negative review about my business online, claiming I provided poor service. The review is completely false and is damaging my reputation. What can I do?","The Pre-Conception and Pre-Natal Diagnostic Techniques (Prohibition of Sex Selection) Act, 1994: This act prohibits the use of pre-natal diagnostic techniques for sex determination, aiming to prevent female foeticide and promote gender equality.",0
"I signed a contract to cater an event, but a week before the date, there was a major power outage in the area, and my catering equipment wouldn't function. The client is demanding a full refund, but I already bought all the ingredients. What are my options?","The Indian Contract Act, 1872, When a party to a contract promises to do a certain thing at or before a specified time, or certain things at or before specified times, and fails to do any such thing at or before the specified time, the contract, or so much of it as has not been performed, becomes voidable at the option of the promisee, if the intention of the parties was that time should be of the essence of the contract.",1
"I signed a contract to cater an event, but a week before the date, there was a major power outage in the area, and my catering equipment wouldn't function. The client is demanding a full refund, but I already bought all the ingredients. What are my options?","The Consumer Protection Act, 2019, offers consumer rights and redressal mechanisms for getting a refund or replacement.",1
"I signed a contract to cater an event, but a week before the date, there was a major power outage in the area, and my catering equipment wouldn't function. The client is demanding a full refund, but I already bought all the ingredients. What are my options?","The Indian Wildlife Protection Act, 1972: focuses on the protection of wildlife and their habitats. ",0
I believe I'm being discriminated against at work because of my age. My boss keeps making comments about how 'older employees can't keep up' and recently passed me over for a promotion in favor of a younger colleague with less experience. Am I protected by any laws?,"The Age Discrimination in Employment (ADE) Act, 2016, protects individuals aged 40 years and over from discrimination throughout the employment",1
I believe I'm being discriminated against at work because of my age. My boss keeps making comments about how 'older employees can't keep up' and recently passed me over for a promotion in favor of a younger colleague with less experience. Am I protected by any laws?,"The Indian Penal Code (IPC), 1860 (Section 427) Whoever commits mischief and thereby causes loss or damage to the amount of fifty rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",0
"I was walking through a crowded market when I accidentally bumped into someone. We both apologized, and I continued walking. However, a few minutes later, I realized my wallet was missing from my pocket. I suspect the person I bumped into might have taken it, but I'm not sure. What legal options do I have in this situation?","The Indian Penal Code (IPC), 1860 (Section 379): This section deals with theft, which is defined as taking movable property belonging to another person without their consent and with the intention of depriving them of it permanently.",1
"During a heated argument on a busy street corner, one individual (Person A) pulls out a knife and lunges towards another individual (Person B) with the clear intent to harm them. Witnessing this, several bystanders (Bystanders X, Y, and Z) attempt to intervene and separate them. Person A, in a desperate and aggressive attempt to reach Person B, swings the knife wildly, threatening the bystanders who are trying to de-escalate the situation.",IPC Section 336: Endangering life or personal safety of others,1
"During a heated argument on a busy street corner, one individual (Person A) pulls out a knife and lunges towards another individual (Person B) with the clear intent to harm them. Witnessing this, several bystanders (Bystanders X, Y, and Z) attempt to intervene and separate them. Person A, in a desperate and aggressive attempt to reach Person B, swings the knife wildly, threatening the bystanders who are trying to de-escalate the situation.",IPC Section 307: Attempt to murder,1
"During a heated argument on a busy street corner, one individual (Person A) pulls out a knife and lunges towards another individual (Person B) with the clear intent to harm them. Witnessing this, several bystanders (Bystanders X, Y, and Z) attempt to intervene and separate them. Person A, in a desperate and aggressive attempt to reach Person B, swings the knife wildly, threatening the bystanders who are trying to de-escalate the situation.","Motor Vehicles Act, 1939:  Regulates the use of motor vehicles on Indian roads.",0
"A group of people, including myself, are traveling together on a bus. Two police officers board the bus and take a co-passenger names ramya into custody. While in custody, the officers allegedly rape ramya Later, upon arrival at the post-mortem examination, it is revealed that she had been brutally raped and strangled to death.",IPC Section 363: Punishment for kidnapping,1
"A group of people, including myself, are traveling together on a bus. Two police officers board the bus and take a co-passenger names ramya into custody. While in custody, the officers allegedly rape ramya Later, upon arrival at the post-mortem examination, it is revealed that she had been brutally raped and strangled to death.",IPC Section 376(2)(c): Rape by a police officer within the limits of a police station to which he is appointed,1
"A group of people, including myself, are traveling together on a bus. Two police officers board the bus and take a co-passenger names ramya into custody. While in custody, the officers allegedly rape ramya Later, upon arrival at the post-mortem examination, it is revealed that she had been brutally raped and strangled to death.","Prevention of Corruption Act, 1988: Addresses the prevention of corruption and misconduct by public servants.",1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","Indian Penal Code (IPC) Section 376: Punishment for rape. This is the primary law governing rape, including rape of a minor.",1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ",IPC Section 302: Punishment for murder. The victim was murdered in a brutal manner.,1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","IPC Section 201: Causing disappearance of evidence of offence, or giving false information to screen offender.",1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ",IPC Section 363: Punishment for kidnapping.,1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","Protection of Children from Sexual Offences Act (POCSO), 2012: This comprehensive law specifically addresses sexual offenses against children, making offenses like rape and assault of minors especially severe.",1
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","The Narcotic Drugs and Psychotropic Substances Act, 1985: This act regulates the production, possession, sale, and consumption of narcotic drugs and psychotropic substances. There's no mention of such substances or their connection to the scenario.",0
"My six-year-old daughter, Sakina, went missing on June 22nd, 1983, after being entrusted to our neighbor, [petitioner's name], to fetch ice. When she didn't return after an extensive search, a crowd gathered and found Sakina's lifeless body inside the neighbor's house. An autopsy confirmed she was brutally raped and strangled. What can i do legally ","The Dowry Prohibition Act, 1961: This act prohibits the giving and taking of dowry, which is unconnected to this particular scenario.",0
"My wife, priya, was sitting by the bus window on our journey when someone unexpectedly came from the other side, snatched her gold chain, and fled. She immediately shouted for help, and I jumped off the bus to chase the thief. Luckily, with the assistance of two other passengers, we managed to apprehend him at the Patel Nagar bus stop. We're pressing charges for theft, but I wanted to understand other legal actions also",IPC Section 379: Punishment for theft: This section deals with the act of taking movable property belonging to another person without their consent and with the intention of depriving them of it permanently.,1
"My wife, priya, was sitting by the bus window on our journey when someone unexpectedly came from the other side, snatched her gold chain, and fled. She immediately shouted for help, and I jumped off the bus to chase the thief. Luckily, with the assistance of two other passengers, we managed to apprehend him at the Patel Nagar bus stop. We're pressing charges for theft, but I wanted to understand other legal actions also","The Hindu Marriage Act, 1955: This act governs various aspects of marriage, including grounds for divorce, maintenance rights, and property division in case of divorce. ",0
"My wife, priya, was sitting by the bus window on our journey when someone unexpectedly came from the other side, snatched her gold chain, and fled. She immediately shouted for help, and I jumped off the bus to chase the thief. Luckily, with the assistance of two other passengers, we managed to apprehend him at the Patel Nagar bus stop. We're pressing charges for theft, but I wanted to understand other legal actions also","The Indian Transfer of Property Act, 1882: This act deals with various aspects of property transfers, including sale, gift, mortgage, and lease.",0
"My wife, priya, was sitting by the bus window on our journey when someone unexpectedly came from the other side, snatched her gold chain, and fled. She immediately shouted for help, and I jumped off the bus to chase the thief. Luckily, with the assistance of two other passengers, we managed to apprehend him at the Patel Nagar bus stop. We're pressing charges for theft, but I wanted to understand other legal actions also","IPC Section 34: Acts done by several persons in furtherance of common intention: If evidence suggests the thief acted in collaboration with others (e.g., lookout or getaway driver), this section strengthens the case by establishing a common criminal intent.",1
"My father, Shri Azhar Hussain, organized a cultural event as a Minister in Maharashtra. He invited artists, Raja Murad and Javed Khan, through official letters. However, the prosecution claims these letters were forged, as they lacked his signature. The event went ahead, but later a controversy erupted, leading to a CBI investigation. We're concerned about the accusations of forgery and want to understand the legal implications and how to proceed.","IPC Section 468: Forgery for purpose of cheating - This section deals with forging documents with the intent to deceive someone. In this case, the forged letters could be considered an attempt to deceive the invitees.",1
"My father, Shri Azhar Hussain, organized a cultural event as a Minister in Maharashtra. He invited artists, Raja Murad and Javed Khan, through official letters. However, the prosecution claims these letters were forged, as they lacked his signature. The event went ahead, but later a controversy erupted, leading to a CBI investigation. We're concerned about the accusations of forgery and want to understand the legal implications and how to proceed.","The Food Safety and Standards Act, 2006: This law focuses on ensuring the safety and quality of food products sold in India. It has no bearing on the situation involving forged invitations and a cultural event.",0
"My father, Shri Azhar Hussain, organized a cultural event as a Minister in Maharashtra. He invited artists, Raja Murad and Javed Khan, through official letters. However, the prosecution claims these letters were forged, as they lacked his signature. The event went ahead, but later a controversy erupted, leading to a CBI investigation. We're concerned about the accusations of forgery and want to understand the legal implications and how to proceed.","The Narcotic Drugs and Psychotropic Substances Act, 1985: This act regulates the production, possession, sale, and consumption of narcotic drugs and psychotropic substances. There's no mention of such substances or their connection to the scenario.",0
